aX,aY,aZ,gX,gY,gZ
1.732,-0.197,0.635,87.463,-91.370,-18.677
1.585,-0.060,0.767,123.718,-21.179,39.124
1.373,0.086,0.871,141.785,3.235,62.866
1.096,0.194,1.008,138.916,-2.380,78.979
0.768,0.242,1.195,129.150,-16.479,93.750
0.505,0.187,1.422,117.554,-29.724,99.487
0.309,0.128,1.637,103.699,-44.373,99.548
0.123,0.098,1.740,82.275,-53.528,99.182
-0.014,0.019,1.824,49.988,-54.504,103.455
-0.186,-0.022,1.912,21.729,-50.110,89.783
-0.313,0.001,1.915,11.353,-36.926,72.815
-0.229,-0.033,1.699,-12.817,2.197,32.227
-0.025,-0.090,1.421,-32.959,14.648,8.972
0.072,-0.096,1.301,-41.687,6.042,-2.502
0.197,-0.083,1.118,-39.673,4.517,-4.822
0.261,-0.077,1.022,-22.705,9.216,-2.441
0.276,-0.068,0.995,-7.385,9.827,0.000
0.286,-0.006,0.943,-5.249,4.028,1.465
0.272,-0.002,0.893,-11.292,-1.526,1.160
0.271,-0.003,0.867,-8.606,-5.981,-0.793
0.291,-0.007,0.858,2.258,-7.874,1.526
0.287,0.014,0.888,7.263,-7.019,3.479
0.282,0.030,0.895,13.123,-2.319,2.563
0.306,0.017,0.915,11.597,-2.502,-3.601
0.319,0.005,0.929,6.897,-5.310,-6.226
0.360,-0.038,0.931,5.371,-6.409,-5.005
0.363,-0.038,0.939,6.165,-9.155,-2.869
0.352,-0.025,0.967,9.155,-9.094,-0.854
0.343,-0.017,0.983,8.972,-2.014,1.648
0.319,0.002,0.989,5.981,4.211,0.854
0.307,-0.001,0.971,0.610,-2.075,-1.953
0.310,-0.013,0.973,-2.930,-13.428,-3.906
0.330,-0.024,0.992,-2.563,-14.587,-3.967
0.327,-0.005,0.999,2.991,-4.761,-0.854
0.322,-0.003,0.995,7.324,8.972,1.404
0.303,0.007,0.973,6.897,9.521,1.526
0.294,0.016,0.964,2.869,0.061,-1.648
0.297,0.016,0.966,0.610,-5.249,-3.784
0.300,0.012,0.970,-0.427,-9.033,-6.042
0.336,-0.021,0.978,0.610,-7.629,-5.493
0.343,-0.024,0.986,1.770,-1.221,0.427
0.317,-0.014,0.984,3.418,3.418,2.014
0.316,-0.016,0.978,5.188,3.845,-0.305
0.319,-0.011,0.976,2.869,-0.366,-1.221
0.313,-0.008,0.976,-0.671,-4.211,-1.770
0.310,-0.006,0.964,0.183,-2.625,-2.502
0.310,-0.013,0.959,1.648,-0.732,-3.235
0.310,-0.032,0.963,3.174,-0.854,-4.333
0.316,-0.043,0.968,1.648,-3.113,-2.319
0.323,-0.042,0.974,0.122,-2.808,0.488
0.313,-0.029,0.968,-0.610,3.418,4.028
0.291,-0.006,0.941,0.549,6.958,3.601
0.283,-0.002,0.928,1.282,6.104,0.793
0.275,-0.001,0.920,1.099,2.930,-1.099
0.279,-0.003,0.926,1.892,-1.038,-4.333
0.288,-0.016,0.940,2.258,-1.282,-5.005
0.293,-0.023,0.945,3.174,-1.038,-5.737
0.310,-0.032,0.954,3.113,-0.427,-6.042
0.318,-0.040,0.956,1.770,2.136,-3.479
0.324,-0.034,0.958,1.099,3.906,-1.038
0.322,-0.026,0.951,0.610,7.324,0.305
0.326,-0.020,0.930,1.282,6.470,-0.793
0.329,-0.017,0.929,1.953,-0.854,-3.235
0.329,-0.011,0.952,2.991,-3.601,-4.089
0.328,-0.008,0.965,7.263,-1.831,-3.845
0.326,-0.007,0.976,9.094,1.038,-3.113
0.320,-0.015,0.977,10.071,2.930,-1.343
0.311,-0.032,0.986,9.155,0.977,-0.793
0.308,-0.033,0.995,5.737,-4.578,-1.099
0.312,-0.040,1.005,4.211,-5.615,-1.709
0.312,-0.051,1.002,2.625,-3.174,-1.526
0.307,-0.051,0.999,2.441,-0.977,-1.099
0.299,-0.048,0.980,1.099,0.854,-1.465
0.300,-0.049,0.970,-1.221,-0.793,-2.502
0.297,-0.048,0.951,-2.075,-1.404,-2.747
0.295,-0.046,0.941,-1.343,0.977,-2.930
0.302,-0.044,0.930,-0.305,2.686,-2.686
0.305,-0.044,0.931,-0.305,2.380,-1.526
0.302,-0.046,0.943,-0.732,0.854,-1.038
0.299,-0.042,0.951,-0.244,-1.160,-1.465
0.298,-0.042,0.954,0.549,-0.854,-1.892
0.308,-0.044,0.973,2.502,0.793,-1.892
0.310,-0.038,0.981,2.441,1.160,-1.465
0.313,-0.035,0.973,1.038,1.831,-1.587
0.318,-0.036,0.965,0.488,1.648,-2.075
0.324,-0.034,0.963,0.244,-0.427,-2.197
0.330,-0.033,0.968,1.282,-1.221,-1.892
0.339,-0.030,0.983,1.892,-0.793,-1.282
0.333,-0.027,0.986,1.709,0.732,0.122
0.322,-0.021,0.979,0.916,0.793,0.183
0.321,-0.026,0.972,-1.465,-2.075,-0.793
0.329,-0.039,0.967,-2.075,-3.784,-1.526
0.330,-0.042,0.968,-1.282,-2.991,-1.526
0.329,-0.050,0.965,-0.732,-1.160,-0.793
0.327,-0.052,0.962,-0.977,1.160,0.977
0.315,-0.050,0.963,-1.099,1.526,1.282
0.313,-0.046,0.962,-1.831,1.709,1.282
0.310,-0.040,0.947,-2.625,1.892,1.221
0.311,-0.043,0.937,-2.625,2.197,0.366
0.319,-0.055,0.926,-2.197,1.099,0.183
0.324,-0.059,0.924,-2.014,-2.625,-0.183
0.343,-0.072,0.913,-1.404,-3.784,-0.671
0.362,-0.082,0.905,1.648,-5.371,-2.136
0.428,-0.111,0.896,3.723,-8.179,-3.174
0.471,-0.117,0.897,9.460,-17.578,-3.967
