aX,aY,aZ,gX,gY,gZ
0.110,-0.619,2.220,-67.627,-37.781,5.005
0.125,-0.675,2.442,-121.643,-24.719,10.132
0.224,-0.683,2.558,-178.955,9.766,21.851
0.268,-0.645,2.530,-259.155,-5.676,41.077
0.298,-0.633,2.224,-307.678,-31.921,50.964
0.243,-0.579,1.609,-406.128,-85.571,73.608
0.176,-0.492,1.219,-488.525,-114.197,93.750
0.067,-0.206,0.367,-510.071,-118.042,98.022
0.024,-0.076,-0.064,-490.356,-128.479,81.848
-0.019,0.020,-0.667,-448.914,-135.925,60.852
0.003,0.089,-0.830,-366.516,-149.841,22.217
0.001,0.307,-1.001,-341.003,-148.132,11.536
-0.082,0.484,-1.212,-304.016,-104.370,11.597
-0.148,0.549,-1.312,-288.452,-65.613,18.188
-0.269,0.658,-1.518,-247.314,30.762,31.311
-0.321,0.704,-1.609,-164.124,89.539,30.579
-0.419,0.759,-1.584,-99.182,78.491,24.109
-0.489,0.737,-1.460,28.931,8.057,6.836
-0.610,0.665,-1.132,68.054,-9.644,0.244
-0.595,0.677,-1.021,106.262,16.968,-3.662
-0.483,0.775,-0.845,118.835,40.771,-7.202
-0.422,0.806,-0.762,150.696,68.359,-21.729
-0.354,0.793,-0.592,168.152,67.261,-28.442
-0.354,0.744,-0.516,200.928,52.246,-32.837
-0.367,0.627,-0.354,218.567,46.692,-34.790
-0.354,0.560,-0.235,254.089,52.307,-43.640
-0.265,0.463,0.049,268.188,69.824,-47.485
-0.213,0.416,0.172,287.903,108.826,-55.786
-0.147,0.214,0.353,297.546,122.864,-64.270
-0.106,0.093,0.456,324.341,134.644,-88.013
0.011,-0.116,0.750,338.989,132.446,-98.267
0.107,-0.188,0.962,365.173,127.747,-108.154
0.372,-0.249,1.467,364.990,115.112,-105.530
0.489,-0.266,1.813,316.895,61.340,-88.562
0.453,-0.270,1.792,273.437,26.001,-78.247
0.323,-0.310,1.615,206.787,-35.522,-70.496
0.262,-0.348,1.550,182.251,-71.106,-69.946
0.233,-0.230,1.562,163.513,-62.317,-58.960
0.231,-0.127,1.547,113.953,-10.681,-27.710
0.222,-0.021,1.481,91.431,8.606,-16.174
0.206,0.005,1.443,64.148,12.756,-2.991
0.116,0.039,1.335,61.096,2.197,-3.906
0.068,0.035,1.294,62.317,-25.269,-17.944
0.057,0.181,1.368,58.899,-34.180,-22.034
0.094,0.389,1.794,69.092,-45.532,-29.297
0.075,-0.233,1.832,63.782,-58.960,-25.208
-0.045,-0.331,1.182,-24.841,-35.217,20.081
-0.084,0.247,0.705,-28.503,-1.770,25.269
-0.009,0.302,0.804,15.869,17.456,14.160
-0.056,0.121,0.930,22.583,3.784,13.428
-0.104,0.053,0.920,13.855,-17.334,6.775
-0.107,0.038,1.070,9.644,-18.738,2.197
-0.094,-0.002,1.131,5.798,-16.357,3.052
-0.084,-0.036,1.054,-0.427,-9.583,5.554
-0.057,0.007,0.997,-7.446,5.005,5.981
-0.008,0.063,0.954,-4.944,3.418,5.249
-0.009,0.051,0.975,2.319,-6.653,2.563
