aX,aY,aZ,gX,gY,gZ
0.681,0.591,1.343,14.404,14.404,11.597
0.667,0.687,1.308,19.775,3.235,19.775
0.490,0.825,1.225,27.771,4.822,36.072
0.283,0.915,1.121,53.528,44.922,57.983
0.194,0.918,1.009,76.599,25.085,30.579
0.153,0.888,0.912,90.088,0.000,9.033
0.098,0.768,0.868,128.845,-23.071,-19.836
0.077,0.613,0.849,168.335,3.113,-27.283
0.161,0.151,0.785,173.767,-4.700,-38.635
0.183,-0.042,0.715,142.822,-88.745,-66.467
0.102,-0.386,0.485,112.244,-117.432,-57.373
-0.000,-0.824,0.306,113.770,-80.444,-40.161
-0.018,-1.282,0.320,122.742,18.005,-23.437
0.027,-1.476,0.369,82.947,9.155,-59.387
0.228,-1.682,0.512,46.509,-39.490,-86.609
0.339,-1.678,0.590,-18.188,-114.319,-109.863
0.415,-1.527,0.652,-38.025,-103.394,-95.947
0.384,-1.457,0.633,-57.312,12.817,-29.541
0.202,-1.322,0.590,-64.819,86.731,7.690
0.140,-1.248,0.496,-97.229,182.312,61.768
0.061,-1.116,0.281,-109.497,188.660,76.599
0.106,-1.025,0.220,-110.718,143.799,72.388
0.288,-0.998,0.220,-104.736,101.868,63.354
0.328,-1.041,0.271,-85.449,29.785,53.650
0.345,-1.113,0.411,-79.285,12.573,53.040
0.327,-1.114,0.485,-76.660,-4.333,58.289
0.301,-0.939,0.597,-77.087,-10.376,63.293
0.323,-0.822,0.615,-84.412,-13.245,77.026
0.327,-0.589,0.615,-89.111,-7.507,85.327
0.255,-0.422,0.630,-87.341,25.818,104.004
0.099,-0.019,0.695,-81.299,52.307,111.389
0.098,0.144,0.727,-76.111,91.797,109.009
0.232,0.334,0.773,-77.148,85.937,97.534
0.271,0.447,0.803,-72.327,35.889,75.195
0.302,0.723,0.856,-68.054,15.930,69.092
0.295,0.835,0.861,-56.274,18.311,57.556
0.232,1.017,0.898,-46.875,34.241,47.119
0.218,1.073,0.930,-24.719,55.359,14.465
0.276,1.026,0.985,-16.052,52.246,-3.723
0.339,0.964,1.006,-4.883,16.541,-31.860
0.390,0.906,1.054,2.686,-5.249,-38.635
0.395,0.878,1.085,25.757,-26.062,-44.556
0.439,0.736,1.156,36.804,-26.611,-45.715
0.462,0.630,1.191,44.556,-23.865,-41.260
0.478,0.437,1.236,40.771,-23.315,-35.400
0.491,0.324,1.223,26.672,-21.973,-26.306
0.491,0.292,1.192,19.653,-21.301,-24.597
0.496,0.228,1.103,9.949,-18.555,-23.254
0.505,0.180,1.059,7.324,-15.625,-22.034
0.529,0.078,0.995,5.249,-11.658,-15.564
0.533,0.054,0.972,5.066,-13.977,-12.329
0.503,0.057,0.916,3.845,-21.179,-10.681
0.478,0.051,0.894,3.540,-19.409,-10.864
0.453,0.037,0.882,4.822,-3.723,-7.019
0.426,0.012,0.862,5.127,4.517,-4.639
0.442,-0.008,0.837,4.517,10.315,-3.174
0.444,-0.013,0.842,4.456,6.958,-2.197
0.422,-0.005,0.872,5.127,-3.235,-1.770
0.414,-0.002,0.891,5.249,-5.371,-2.747
0.401,-0.003,0.914,3.296,-2.563,-3.479
0.398,-0.004,0.914,1.831,5.310,-2.136
0.392,0.009,0.910,1.831,8.789,-2.380
0.402,0.011,0.902,1.587,10.010,-3.967
0.427,0.012,0.898,1.892,3.174,-8.545
0.434,0.006,0.906,3.174,-4.700,-9.888
0.435,0.009,0.931,3.418,-5.249,-8.728
0.424,0.022,0.939,2.563,-3.052,-7.080
0.419,0.028,0.938,0.305,3.845,-6.104
0.423,0.028,0.932,-0.427,7.507,-5.554
0.424,0.042,0.923,0.061,7.202,-5.310
0.438,0.050,0.921,0.549,6.409,-6.165
0.463,0.049,0.911,-1.587,3.113,-7.141
0.460,0.056,0.911,-1.526,1.038,-6.042
0.470,0.049,0.925,1.099,2.197,-5.249
0.478,0.041,0.930,1.282,2.991,-4.700
0.465,0.042,0.925,-0.061,2.686,-2.197
0.464,0.035,0.924,-0.122,2.197,-2.197
0.465,0.028,0.926,-1.038,-3.540,-3.296
0.445,0.041,0.912,-1.831,-6.104,-2.991
0.441,0.040,0.895,-0.427,-2.075,-2.380
0.446,0.027,0.898,4.517,1.343,0.183
0.443,0.026,0.917,5.615,1.587,1.770
0.440,0.022,0.922,4.395,1.282,2.075
0.434,0.019,0.920,0.061,-2.869,0.977
0.418,0.027,0.908,-0.793,-3.235,0.732
0.420,0.034,0.906,0.427,0.671,0.366
0.418,0.038,0.907,1.343,2.136,0.122
0.432,0.021,0.911,1.465,2.319,-2.014
0.438,0.016,0.917,0.671,-4.333,-4.578
0.442,0.014,0.919,0.610,-6.409,-5.554
