name,auroc,n_params,macs,fp32_kb,int8_kb,technique,macs_M,deployed_kb,category
Baseline FP32,0.9651,462307,39155200,1805.88671875,451.4716796875,none,39.2,1805.9,bottle
INT8 (sim),0.9643,462307,39155200,451.4716796875,451.4716796875,quantization,39.2,451.5,bottle
Prune 30% (l1),0.9651,255901,20294400,999.61328125,249.9033203125,pruning_l1,20.3,999.6,bottle
Prune 30% (l1) + INT8,0.9667,255901,20294400,249.9033203125,249.9033203125,pruning_l1+int8,20.3,249.9,bottle
Prune 50% (l1),0.9556,149251,11195904,583.01171875,145.7529296875,pruning_l1,11.2,583.0,bottle
Prune 50% (l1) + INT8,0.9556,149251,11195904,145.7529296875,145.7529296875,pruning_l1+int8,11.2,145.8,bottle
Prune 30% (taylor),0.9619,255901,20294400,999.61328125,249.9033203125,pruning_taylor,20.3,999.6,bottle
Prune 30% (taylor) + INT8,0.9603,255901,20294400,249.9033203125,249.9033203125,pruning_taylor+int8,20.3,249.9,bottle
Prune 50% (taylor),0.9429,149251,11195904,583.01171875,145.7529296875,pruning_taylor,11.2,583.0,bottle
Prune 50% (taylor) + INT8,0.9413,149251,11195904,145.7529296875,145.7529296875,pruning_taylor+int8,11.2,145.8,bottle
Distill (b16),0.9167,116467,10670848,454.94921875,113.7373046875,distillation,10.7,454.9,bottle
Distill (b16) + INT8,0.9167,116467,10670848,113.7373046875,113.7373046875,distillation+int8,10.7,113.7,bottle
Baseline FP32,0.87,462307,39155200,1805.88671875,451.4716796875,none,39.2,1805.9,hazelnut
INT8 (sim),0.8739,462307,39155200,451.4716796875,451.4716796875,quantization,39.2,451.5,hazelnut
Prune 30% (l1),0.8707,255901,20294400,999.61328125,249.9033203125,pruning_l1,20.3,999.6,hazelnut
Prune 30% (l1) + INT8,0.8746,255901,20294400,249.9033203125,249.9033203125,pruning_l1+int8,20.3,249.9,hazelnut
Prune 50% (l1),0.8879,149251,11195904,583.01171875,145.7529296875,pruning_l1,11.2,583.0,hazelnut
Prune 50% (l1) + INT8,0.8889,149251,11195904,145.7529296875,145.7529296875,pruning_l1+int8,11.2,145.8,hazelnut
Prune 30% (taylor),0.8711,255901,20294400,999.61328125,249.9033203125,pruning_taylor,20.3,999.6,hazelnut
Prune 30% (taylor) + INT8,0.8782,255901,20294400,249.9033203125,249.9033203125,pruning_taylor+int8,20.3,249.9,hazelnut
Prune 50% (taylor),0.8846,149251,11195904,583.01171875,145.7529296875,pruning_taylor,11.2,583.0,hazelnut
Prune 50% (taylor) + INT8,0.8846,149251,11195904,145.7529296875,145.7529296875,pruning_taylor+int8,11.2,145.8,hazelnut
Distill (b16),0.7996,116467,10670848,454.94921875,113.7373046875,distillation,10.7,454.9,hazelnut
Distill (b16) + INT8,0.7986,116467,10670848,113.7373046875,113.7373046875,distillation+int8,10.7,113.7,hazelnut
