name,technique,auroc,n_params,macs_M,deployed_kb
Prune 50% (l1) + INT8,pruning_l1+int8,0.8889,149251,11.2,145.8
Prune 50% (l1),pruning_l1,0.8879,149251,11.2,583.0
Prune 50% (taylor),pruning_taylor,0.8846,149251,11.2,583.0
Prune 50% (taylor) + INT8,pruning_taylor+int8,0.8846,149251,11.2,145.8
Prune 30% (taylor) + INT8,pruning_taylor+int8,0.8782,255901,20.3,249.9
Prune 30% (l1) + INT8,pruning_l1+int8,0.8746,255901,20.3,249.9
INT8 (sim),quantization,0.8739,462307,39.2,451.5
Prune 30% (taylor),pruning_taylor,0.8711,255901,20.3,999.6
Prune 30% (l1),pruning_l1,0.8707,255901,20.3,999.6
Baseline FP32,none,0.87,462307,39.2,1805.9
Distill (b16),distillation,0.7996,116467,10.7,454.9
Distill (b16) + INT8,distillation+int8,0.7986,116467,10.7,113.7
