aX,aY,aZ,gX,gY,gZ
0.274,1.264,1.090,4.089,15.076,-0.549
0.290,1.343,1.003,3.113,21.973,0.610
0.290,1.321,0.942,11.230,13.123,-5.005
0.296,1.207,0.890,20.447,3.540,-13.794
0.352,1.127,0.918,36.804,-13.733,-34.973
0.568,0.994,1.007,39.368,-18.921,-41.199
0.661,0.952,1.019,42.358,-4.089,-32.776
0.705,0.845,0.959,47.668,20.020,-19.531
0.525,0.651,0.843,56.824,74.707,6.897
0.385,0.489,0.757,42.419,77.759,-0.305
0.155,0.051,0.546,28.870,53.772,-18.677
0.111,-0.180,0.463,14.465,-4.517,-58.594
0.114,-0.643,0.365,17.578,-12.756,-71.594
0.177,-1.005,0.369,40.161,6.775,-96.008
0.438,-1.662,0.480,49.927,-12.024,-112.915
0.522,-1.750,0.565,68.909,-107.483,-125.183
0.565,-1.567,0.856,89.050,-129.395,-116.699
0.553,-1.408,1.058,115.845,-90.027,-85.388
0.478,-1.034,1.314,99.304,-61.157,-71.106
0.449,-0.849,1.276,15.686,-26.245,-57.312
0.384,-0.575,0.933,-21.118,-11.292,-49.072
0.321,-0.496,0.750,-41.931,30.884,-25.574
0.222,-0.354,0.568,-34.180,48.157,-16.052
0.192,-0.299,0.542,-19.348,49.805,-7.446
0.208,-0.307,0.535,-15.015,33.813,-10.742
0.247,-0.365,0.571,1.160,-21.362,-25.024
0.340,-0.591,0.763,12.085,-45.654,-31.555
0.406,-0.728,0.885,16.541,-52.551,-27.649
0.516,-0.911,1.033,6.104,-35.583,-7.324
0.502,-0.914,1.040,-30.579,22.217,55.908
0.293,-0.820,0.945,-47.607,51.453,81.238
0.188,-0.757,0.884,-66.101,73.059,95.764
0.129,-0.751,0.768,-71.960,57.007,89.539
0.150,-0.813,0.718,-86.914,-3.845,71.838
0.201,-0.823,0.674,-94.727,-21.667,68.176
0.250,-0.664,0.696,-99.426,17.273,83.252
0.329,-0.260,0.692,-97.595,61.646,97.595
0.310,-0.180,0.646,-93.567,121.460,116.638
0.226,-0.161,0.575,-90.393,120.911,116.516
0.210,-0.047,0.591,-79.956,85.999,106.567
0.230,0.336,0.656,-72.083,72.388,99.182
0.301,0.458,0.676,-61.523,70.190,82.275
0.440,0.501,0.717,-62.134,72.876,81.482
0.426,0.501,0.748,-70.923,75.989,94.482
0.408,0.633,0.789,-67.017,72.388,100.525
0.446,0.742,0.809,-57.434,60.852,103.821
0.465,0.867,0.804,-63.477,57.800,102.600
0.476,0.859,0.786,-77.209,51.636,91.858
0.410,0.897,0.780,-79.346,49.194,87.158
0.360,0.917,0.791,-67.871,51.819,72.021
0.434,0.944,0.818,-56.580,52.979,57.068
0.547,0.926,0.833,-49.011,45.654,27.832
0.674,0.908,0.807,-55.359,41.992,24.963
0.676,0.945,0.739,-74.524,49.988,36.072
0.623,1.102,0.543,-80.383,60.852,40.894
0.596,1.151,0.448,-80.994,71.777,43.335
0.570,1.107,0.342,-59.509,68.542,44.434
0.537,1.069,0.346,-38.391,48.523,43.396
0.446,0.963,0.449,6.226,-7.568,30.029
0.403,0.893,0.519,22.278,-30.579,19.653
0.356,0.798,0.603,33.325,-44.800,4.089
0.358,0.776,0.621,30.762,-33.508,-0.183
0.417,0.754,0.605,21.301,4.700,-4.883
0.453,0.740,0.576,18.250,18.188,-7.385
0.564,0.670,0.558,22.827,22.644,-15.686
0.606,0.631,0.582,27.710,16.296,-17.578
0.627,0.599,0.617,26.917,1.648,-10.803
0.620,0.564,0.680,20.020,-4.639,-5.310
0.589,0.563,0.691,2.502,-11.658,2.258
0.526,0.573,0.657,-3.540,-8.362,3.967
0.531,0.568,0.633,-5.066,5.676,6.836
0.559,0.571,0.617,-2.380,10.193,9.766
0.565,0.576,0.621,1.526,7.812,13.611
0.563,0.575,0.641,2.380,4.333,13.550
0.562,0.569,0.659,1.221,1.221,13.367
0.541,0.573,0.686,-3.357,2.075,13.794
0.536,0.583,0.667,-15.076,6.226,13.611
0.535,0.595,0.600,-15.869,9.521,13.489
0.532,0.602,0.583,-8.240,16.846,13.794
0.517,0.621,0.570,-4.822,17.517,13.428
0.498,0.626,0.565,0.061,11.353,10.559
0.494,0.621,0.558,2.197,6.409,9.155
0.499,0.613,0.563,4.578,2.319,10.803
0.498,0.613,0.586,4.456,4.883,12.451
0.487,0.622,0.584,2.563,7.568,12.695
0.477,0.629,0.576,-1.282,9.338,8.606
0.478,0.642,0.571,-0.671,8.057,5.676
0.487,0.646,0.575,1.404,2.991,-0.366
0.520,0.635,0.578,1.709,1.221,-2.686
0.539,0.620,0.581,3.113,1.709,-1.770
0.556,0.602,0.595,3.601,2.625,1.099
0.551,0.606,0.598,1.404,2.686,4.700
0.548,0.605,0.595,0.671,0.854,3.418
0.552,0.598,0.599,1.099,-1.953,0.854
0.554,0.588,0.607,2.869,-5.554,-2.808
0.551,0.586,0.602,2.258,-5.371,-3.174
0.554,0.586,0.591,0.183,-3.235,-2.441
