aX,aY,aZ,gX,gY,gZ
1.689,-0.498,0.786,52.307,-20.020,-111.877
1.827,-0.579,0.912,39.856,-6.409,-46.753
1.617,-0.465,0.879,15.808,-11.292,-1.038
1.466,-0.402,0.839,1.099,-23.926,32.654
1.157,-0.341,0.783,-1.160,-31.311,40.588
0.919,-0.358,0.833,5.371,-42.969,58.716
0.808,-0.377,0.903,4.700,-41.992,84.778
0.627,-0.338,0.974,-2.747,-34.058,93.079
0.603,-0.330,0.944,-21.179,-18.616,105.408
0.488,-0.371,0.850,-23.926,-22.461,109.436
0.175,-0.303,0.819,-20.508,-49.255,105.347
0.072,-0.249,0.827,-19.348,-57.007,104.675
-0.077,-0.202,0.895,-9.827,-47.485,114.136
-0.174,-0.194,0.934,-3.296,-37.903,119.873
-0.425,-0.202,0.967,0.610,-20.081,121.826
-0.564,-0.192,0.983,-1.648,-12.146,116.089
-0.775,-0.173,1.038,-5.920,-1.160,104.248
-0.830,-0.172,1.060,-7.690,1.282,95.581
-0.840,-0.161,1.042,-14.099,4.639,66.956
-0.806,-0.120,1.030,-17.090,5.920,53.589
-0.694,-0.069,1.033,-13.611,6.836,38.269
-0.630,-0.086,1.053,-8.972,7.629,34.729
-0.529,-0.106,1.066,-1.770,12.085,31.433
-0.468,-0.109,1.051,6.714,18.066,24.231
-0.297,-0.132,1.034,10.193,15.930,19.226
-0.222,-0.142,1.047,13.489,5.371,14.465
-0.132,-0.153,1.065,13.672,3.174,12.146
-0.089,-0.159,1.054,10.742,0.000,3.418
-0.023,-0.188,1.042,9.705,-4.822,-0.061
-0.003,-0.196,1.053,11.047,-10.986,-5.371
0.029,-0.209,1.073,11.047,-10.681,-8.606
0.060,-0.209,1.061,6.470,-9.583,-12.390
0.111,-0.207,1.017,4.822,-10.010,-10.925
0.121,-0.201,1.007,6.775,-6.226,-2.930
0.101,-0.170,1.005,7.751,-1.892,1.038
0.085,-0.154,1.002,5.676,3.113,5.737
0.060,-0.123,0.978,3.967,2.991,6.165
0.059,-0.115,0.964,2.380,1.465,2.808
0.077,-0.124,0.962,2.197,0.793,1.343
0.087,-0.131,0.965,0.549,1.526,1.770
0.095,-0.140,0.958,0.122,2.991,3.113
0.098,-0.144,0.955,1.038,3.479,5.737
0.087,-0.145,0.974,1.160,1.831,6.348
0.074,-0.138,0.987,0.732,-2.014,4.089
0.069,-0.133,0.988,1.099,-2.441,1.831
0.076,-0.140,0.987,3.113,-1.709,-0.916
0.090,-0.154,0.998,3.723,-1.099,-1.587
0.107,-0.160,1.006,2.075,-0.854,-0.916
0.128,-0.160,1.000,0.305,-0.854,0.427
0.128,-0.152,0.987,-0.122,1.404,2.686
0.117,-0.140,0.973,1.770,3.357,3.723
0.113,-0.140,0.976,4.333,3.906,5.249
0.103,-0.141,0.994,4.089,1.709,5.981
0.094,-0.138,1.002,2.441,-3.052,4.700
0.082,-0.136,1.004,1.953,-4.272,2.258
0.085,-0.134,1.005,2.014,-5.371,0.549
0.077,-0.129,1.011,1.526,-4.150,1.526
0.072,-0.130,1.010,0.549,0.244,1.221
0.083,-0.138,1.000,0.793,0.854,0.366
0.089,-0.140,0.993,1.770,-1.160,-0.427
0.095,-0.148,0.987,2.502,-2.014,-0.427
0.092,-0.152,0.991,3.601,-2.136,0.916
0.085,-0.148,1.003,3.479,-1.648,1.221
0.086,-0.148,1.008,1.282,-2.563,0.854
0.096,-0.156,1.017,-0.061,-3.418,0.854
0.093,-0.155,1.020,-1.831,-2.136,0.610
0.094,-0.161,1.008,-2.502,-1.343,0.061
0.092,-0.167,1.002,-2.075,-3.113,0.244
0.084,-0.162,1.004,-0.977,-2.747,0.793
0.084,-0.159,0.997,-0.671,2.075,1.709
0.084,-0.152,0.987,-2.319,0.916,2.258
0.076,-0.135,0.971,-2.136,-0.244,2.197
0.076,-0.130,0.972,-0.244,1.709,1.648
0.082,-0.136,0.973,0.366,3.113,1.404
0.089,-0.145,0.973,0.244,0.549,0.305
0.090,-0.150,0.985,0.244,-2.014,-0.061
0.087,-0.150,0.992,1.038,-1.831,-0.305
0.083,-0.155,0.993,1.709,0.366,0.061
0.083,-0.156,0.992,2.319,3.052,1.221
0.085,-0.158,0.994,1.831,2.380,1.160
0.087,-0.157,0.996,0.549,-1.099,0.183
0.082,-0.154,0.994,0.305,-1.526,-0.061
0.082,-0.156,0.995,0.488,0.793,0.427
0.087,-0.153,0.996,0.305,1.831,0.549
0.086,-0.149,0.988,-0.305,2.380,0.183
