aX,aY,aZ,gX,gY,gZ
-0.104,0.690,2.424,25.146,-56.152,14.221
-0.117,0.701,2.469,102.112,-9.521,13.977
-0.044,0.790,2.346,145.996,14.099,9.705
-0.014,0.797,2.161,234.131,53.040,4.150
0.032,0.688,1.675,276.123,67.200,0.305
0.052,0.593,1.445,338.318,75.073,-11.658
0.062,0.420,1.082,348.877,67.444,-11.169
0.021,0.364,0.874,356.201,58.594,-8.301
0.005,0.256,0.531,358.093,67.017,-13.733
0.020,0.235,0.385,357.666,81.726,-22.156
0.037,0.215,0.238,357.056,109.863,-41.687
0.018,0.132,-0.054,357.971,116.272,-53.528
-0.032,0.057,-0.217,357.056,117.432,-81.299
-0.200,-0.209,-0.513,352.295,122.375,-96.436
-0.286,-0.332,-0.634,328.796,130.920,-122.437
-0.460,-0.551,-0.907,318.237,129.211,-128.540
-0.542,-0.693,-1.052,295.105,102.905,-114.075
-0.633,-1.026,-1.278,268.433,82.947,-92.896
-0.626,-1.143,-1.362,178.101,52.185,-39.246
-0.460,-1.238,-1.323,125.366,41.809,-12.634
-0.309,-1.230,-1.183,75.012,29.907,12.817
0.036,-1.115,-0.815,-1.404,-13.245,53.711
0.155,-1.039,-0.675,-25.208,-46.082,66.406
0.220,-0.978,-0.583,-55.420,-98.145,74.341
0.208,-0.905,-0.485,-65.308,-105.469,68.115
0.151,-0.890,-0.465,-79.285,-84.717,43.518
0.014,-0.935,-0.492,-84.412,-64.697,33.020
-0.023,-0.988,-0.530,-97.351,-28.198,27.405
0.036,-1.071,-0.589,-107.117,-17.151,32.166
0.123,-1.041,-0.581,-135.803,-21.362,51.514
0.313,-0.873,-0.505,-151.489,-36.743,60.730
0.358,-0.767,-0.458,-179.565,-81.177,61.218
0.311,-0.600,-0.316,-195.374,-99.426,51.636
0.267,-0.541,-0.202,-231.384,-112.244,26.855
0.214,-0.433,0.096,-247.620,-112.915,18.311
0.196,-0.369,0.254,-264.587,-126.160,13.794
0.097,-0.263,0.517,-262.390,-138.000,13.550
0.022,-0.233,0.611,-255.249,-145.813,10.803
-0.045,-0.209,0.700,-245.239,-129.944,-3.479
-0.056,-0.087,0.930,-245.911,-107.117,-12.573
-0.032,0.015,1.095,-248.291,-69.336,-30.334
-0.113,0.094,1.390,-236.755,-55.542,-38.818
-0.173,0.056,1.406,-174.561,-23.865,-44.189
-0.165,-0.045,1.229,-147.583,-12.207,-38.269
-0.112,-0.026,1.214,-149.231,-7.812,-27.039
-0.049,0.114,1.450,-162.720,-11.292,-28.015
-0.067,0.152,1.578,-154.968,-28.992,-31.738
-0.188,0.060,1.617,-131.958,-40.894,-27.527
-0.245,-0.027,1.542,-87.463,-53.467,-6.897
-0.261,-0.155,1.359,-77.332,-50.842,2.991
-0.230,-0.166,1.306,-74.707,-30.334,10.193
-0.163,-0.164,1.243,-72.754,-14.587,7.812
-0.133,-0.173,1.202,-59.570,19.592,-3.479
-0.078,-0.151,1.143,-54.077,29.724,-8.728
-0.055,-0.117,1.150,-49.377,24.780,-7.996
-0.029,-0.075,1.209,-49.744,13.672,-4.211
-0.025,-0.070,1.227,-51.514,1.404,-1.465
-0.063,-0.078,1.228,-46.143,-3.662,-2.808
-0.080,-0.108,1.206,-36.682,3.723,-6.775
-0.085,-0.141,1.168,-18.066,17.151,-9.155
-0.064,-0.189,1.053,-13.184,18.616,-6.531
-0.039,-0.194,1.008,-13.245,13.611,-0.488
0.014,-0.156,0.990,-16.907,9.338,1.099
0.019,-0.131,1.003,-25.146,1.465,-0.854
-0.006,-0.083,1.036,-26.062,-0.793,-3.601
-0.028,-0.068,1.048,-21.057,-2.808,-5.554
-0.057,-0.089,1.045,-17.029,-2.563,-3.906
-0.059,-0.103,1.034,-15.137,1.892,-2.136
-0.051,-0.094,1.015,-16.479,5.920,-3.235
-0.035,-0.090,1.009,-18.433,10.132,-7.019
-0.017,-0.073,1.023,-20.691,7.874,-8.850
-0.024,-0.065,1.038,-21.301,0.244,-7.812
-0.020,-0.067,1.049,-18.738,-2.563,-5.371
-0.008,-0.062,1.034,-13.489,-1.526,-4.822
0.014,-0.062,0.998,-11.963,1.465,-8.179
-0.001,-0.064,1.002,-12.573,7.935,-16.479
-0.015,-0.042,1.059,-10.620,9.277,-17.273
-0.007,-0.052,1.061,-7.751,8.362,-15.869
-0.010,-0.057,1.040,-6.775,6.714,-12.024
0.003,-0.059,1.005,-7.446,7.324,-10.681
0.011,-0.056,1.003,-10.315,8.972,-12.207
-0.000,-0.034,1.019,-12.024,8.789,-13.733
-0.009,-0.026,1.024,-15.320,7.385,-14.099
-0.015,-0.005,1.023,-14.954,6.348,-12.939
-0.016,-0.016,1.004,-8.301,0.793,-7.446
-0.013,-0.055,0.952,-6.042,-1.099,-4.761
-0.009,-0.049,0.950,-5.737,-1.709,-1.404
-0.007,-0.036,0.972,-3.662,-2.258,0.183
-0.013,-0.047,0.978,1.770,-0.854,1.770
-0.003,-0.036,1.002,2.319,3.479,0.366
0.003,-0.030,1.030,2.686,10.010,-3.662
0.001,-0.047,1.046,1.892,9.644,-4.578
-0.007,-0.052,1.031,-0.305,7.996,-4.883
-0.006,-0.048,1.012,-3.113,3.723,-3.357
0.007,-0.031,1.006,-3.601,0.488,-2.136
0.003,-0.026,1.010,-5.005,-2.380,-0.854
-0.005,-0.026,1.005,-5.615,-0.122,-1.282
-0.008,-0.032,0.994,-7.019,5.554,-3.235
-0.012,-0.015,0.989,-8.240,6.409,-4.089
-0.008,-0.002,0.995,-9.277,4.822,-5.127
-0.010,-0.001,1.001,-8.545,2.991,-4.883
-0.016,-0.003,1.002,-6.470,-0.977,-1.709
-0.016,-0.013,0.997,-6.042,-1.282,0.366
-0.011,-0.015,0.991,-9.094,-1.099,0.305
-0.014,-0.009,0.997,-11.353,-2.014,-1.099
-0.016,-0.011,1.000,-12.695,-2.808,-1.892
-0.003,-0.016,1.014,-12.085,-2.136,-1.221
0.009,-0.020,1.013,-10.864,-0.916,-0.244
0.027,-0.032,0.996,-9.460,0.122,-0.488
0.018,-0.034,0.998,-10.315,-1.465,-1.953
0.012,-0.031,1.007,-11.414,-4.517,-2.930
0.021,-0.027,1.016,-11.353,-4.150,-2.441
0.027,-0.017,1.010,-11.780,-2.258,-3.662
0.021,0.002,1.008,-11.230,-2.136,-4.517
0.009,-0.000,1.011,-7.690,-3.296,-4.639
-0.004,0.003,1.004,-6.348,-2.686,-4.578
-0.005,0.007,1.001,-7.141,1.099,-5.310
-0.010,0.015,1.002,-7.446,2.869,-5.859
-0.008,0.019,0.997,-5.554,2.075,-5.798

-0.099,0.903,2.421,6.653,-64.331,32.227
